序号,类型,长度,内容,时间
1,14,277,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-52""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-53""},{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-54""},{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-58""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-59""}],""datetime"":""2015-4-1 00:05:27""}",2015-4-1 00:05:27
2,14,277,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-49""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-50""},{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-54""},{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-58""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-58""}],""datetime"":""2015-4-1 00:09:30""}",2015-4-1 00:09:30
3,13,101,"{""devicename"":""135790246811230"",""lng"":""114.394017"",""lat"":""30.504774"",""datetime"":""2018-6-29 10:32:25""}",2018-6-29 10:32:25
4,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-57""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-57""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-57""},{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-57""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-58""}],""datetime"":""2018-6-29 10:33:28""}",2018-6-29 10:33:28
5,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-54""},{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-54""},{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-55""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-59""},{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-60""}],""datetime"":""2018-6-29 10:34:30""}",2018-6-29 10:34:30
6,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-53""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-54""},{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-55""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-56""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-60""}],""datetime"":""2018-6-29 10:35:33""}",2018-6-29 10:35:33
7,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-58""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-58""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-60""},{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-62""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-64""}],""datetime"":""2018-6-29 10:37:36""}",2018-6-29 10:37:36
8,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-52""},{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-55""},{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-57""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-57""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-59""}],""datetime"":""2018-6-29 10:39:38""}",2018-6-29 10:39:38
9,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-54""},{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-54""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-55""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-59""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-61""}],""datetime"":""2018-6-29 10:41:40""}",2018-6-29 10:41:40
10,13,101,"{""devicename"":""135790246811230"",""lng"":""114.393610"",""lat"":""30.505480"",""datetime"":""2018-6-29 13:18:47""}",2018-6-29 13:18:47
11,13,101,"{""devicename"":""135790246811230"",""lng"":""114.393529"",""lat"":""30.505446"",""datetime"":""2018-6-29 13:19:34""}",2018-6-29 13:19:34
12,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-50""},{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-50""},{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-51""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-52""},{""mac"":""02:bd:5f:15:b9:dd"",""rssi"":""-58""}],""datetime"":""2018-6-29 13:21:37""}",2018-6-29 13:21:37
13,14,278,"{""devicename"":""135790246811230"",""wifi"":[{""mac"":""00:27:1d:1a:59:2e"",""rssi"":""-52""},{""mac"":""02:27:1d:1a:59:2e"",""rssi"":""-52""},{""mac"":""b8:08:d7:86:6c:50"",""rssi"":""-53""},{""mac"":""12:27:1d:1a:59:2e"",""rssi"":""-53""},{""mac"":""50:bd:5f:15:b9:dd"",""rssi"":""-57""}],""datetime"":""2018-6-29 13:23:39""}",2018-6-29 13:23:39
