文件名,版本号（最后一条版本号记录）,IMEI,开始时间,结束时间,start个数,drv_start个数,period个数,stop个数,stop_1个数,stop_all个数,stop_hold个数,stop_2个数,stop_pos个数,stop_ack个数,time_finish个数,AGPS开始个数,AGPS成功个数,AGPS失败个数
C:\Users\chuan.wang\Desktop\AP1 0526.log,bb[MXT535-V100C003B004T002s] gnss[FW Ver:MXT535S-V300C001B002E4601] bt[MXT535BD_BLE_V1.0.7],201603180000018,2016-05-26 10:05:33,2016-05-26 11:19:05,50,25,25,17,3,10,1,2,1,0,0,3,1,2
C:\Users\chuan.wang\Desktop\AP1 0526.log,bb[MXT535-V100C003B004T002s] gnss[FW Ver:MXT535S-V300C001B002E4601] bt[MXT535BD_BLE_V1.0.7],201603180000018,2016-05-26 10:05:33,2016-05-26 11:19:05,50,25,25,17,3,10,1,2,1,0,0,3,1,2
C:\Users\chuan.wang\Desktop\S6 0528.log,bb[MXT535-V100C001B004s] gnss[FW Ver:MXT535S-V300C001B002E4998] bt[MXT535BD_BLE_V1.0.8],866888020099579,2016-05-28 14:08:36,2016-05-29 14:51:47,553,49,504,10,9,0,0,0,1,0,49,2,2,1
C:\Users\chuan.wang\Desktop\F1.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.7],356674060511823,2016-06-07 14:40:18,2016-06-07 14:48:51,12,6,6,0,0,0,0,0,0,0,6,0,0,0
C:\Users\chuan.wang\Desktop\E6.log,bb[MXT535-V100C003B004T002s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020099595,2016-06-07 14:39:12,2016-06-07 17:03:54,145,62,83,32,11,0,20,0,0,1,0,1,1,0
C:\Users\chuan.wang\Desktop\E8.log,bb[MXT535-BD-V100C001B004] gnss[FW Ver:MXT535S-V300C001B002E4998] bt[MXT535BD_BLE_V1.0.8],866888020099272,2016-06-07 14:40:02,2016-06-07 17:03:39,141,59,82,33,10,0,21,1,0,1,57,1,1,0
C:\Users\chuan.wang\Desktop\F7.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020104221,2016-06-07 18:57:19,2016-06-08 08:45:51,532,68,464,26,22,1,0,2,1,0,67,2,4,1
C:\Users\chuan.wang\Desktop\S6.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020099579,2016-06-12 18:12:56,2016-06-13 08:37:13,611,64,547,54,50,2,0,1,1,0,63,2,3,0
C:\Users\chuan.wang\Desktop\S7.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020099637,2016-06-12 18:14:10,2016-06-13 08:37:14,617,69,548,60,57,1,0,1,1,0,68,2,4,1
C:\Users\chuan.wang\Desktop\E5.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020099462,2016-06-15 07:51:01,2016-06-15 09:04:31,78,34,44,4,4,0,0,0,0,0,33,0,0,0
C:\Users\chuan.wang\Desktop\偏点\F8.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020103991,2016-06-14 13:46:44,2016-06-14 15:39:32,139,70,69,5,3,0,0,0,1,1,71,1,2,0
C:\Users\chuan.wang\Desktop\1501s_B4.log,bb[MXT1501S_V0_0_3] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246811220,2016-06-21 17:24:34,2016-06-22 09:18:32,888,106,782,75,58,0,1,7,1,8,105,38,38,1
C:\Users\chuan.wang\Desktop\1501s_B4_after20.log,bb[MXT1501S_V0_0_3] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246811220,2016-06-21 20:13:33,2016-06-22 09:18:32,815,70,745,39,31,0,0,7,1,0,69,2,2,0
C:\Users\chuan.wang\Desktop\1501s_B4_after20.log,bb[MXT1501S_V0_0_3] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246811220,2016-06-21 20:13:33,2016-06-22 09:18:32,815,70,745,39,31,0,0,7,1,0,69,2,2,0
C:\Users\chuan.wang\Desktop\1501s_B4_after20.log,bb[MXT1501S_V0_0_3] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246811220,2016-06-21 20:13:33,2016-06-22 09:18:32,815,70,745,39,31,0,0,7,1,0,69,2,2,0
C:\Users\chuan.wang\Desktop\B4_0622.log,bb[MXT1501S_V0_0_3] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246811220,2016-06-22 16:56:24,2016-06-23 08:59:28,813,92,721,48,41,5,0,2,0,0,96,2,6,1
C:\Users\chuan.wang\Desktop\F4.log,bb[MXT535-BD-V100C001B004T003] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[MXT535BD_BLE_V1.0.8],866888020103926,2016-06-30 07:36:48,2016-06-30 08:39:19,72,36,36,2,2,0,0,0,0,0,36,0,1,0
C:\Users\chuan.wang\Desktop\2811-0709.log,bb[MXT535-BD-V100C001B006T001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[MXT535BD_BLE_V1.0.8],866888020102811,2016-07-09 17:37:32,2016-07-09 19:19:01,77,33,44,24,22,0,0,2,0,0,26,2,2,1
C:\Users\chuan.wang\Desktop\2811-0709.log,bb[MXT535-BD-V100C001B006T001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[MXT535BD_BLE_V1.0.8],866888020102811,2016-07-09 17:37:32,2016-07-09 19:19:01,77,33,44,24,22,0,0,2,0,0,26,2,2,1
D:\log\srv_logs\AP2 0509.log,bb[MXT535-BD-V100C001B001] gnss[FW Ver:MXT535S-V300C001B002E4601] bt[MXT535BD_BLE_V1.0.7],201603180000026,2016-05-09 07:16:36,2016-05-10 01:39:43,1044,522,522,209,43,0,0,1,2,163,0,522,173,316
D:\log\srv_logs\Y24 0427.log,bb[MXT535-BD-V100C001B003] gnss[FW Ver:MXT535S-V300C001B002E4804] bt[MXT535BD_BLE_V1.0.8],201604070000241,2016-04-27 14:02:10,2016-04-27 19:39:29,261,82,179,63,52,5,0,6,0,0,0,3,4,1
D:\log\srv_logs\AP1 0510.log,bb[MXT535-V100C003B001T007s] gnss[FW Ver:MXT535S-V300C001B002E4601] bt[MXT535BD_BLE_V1.0.7],201603180000018,2016-05-10 11:34:26,2016-05-10 18:36:08,156,6,150,9,8,0,1,0,0,0,0,6,0,5
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0715.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-15 10:41:56,2016-07-16 18:47:43,1059,231,828,66,51,2,0,3,10,0,236,5,12,4
D:\log\srv_logs\绿0712.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[],866888020211497,2016-07-12 08:53:17,2016-07-13 03:01:23,409,55,354,21,15,0,2,0,4,0,60,2,6,3
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
