文件名,版本号（最后一条版本号记录）,IMEI,开始时间,结束时间,start个数,drv_start个数,period个数,stop个数,stop_1个数,stop_all个数,stop_hold个数,stop_2个数,stop_pos个数,stop_ack个数,time_finish个数,AGPS开始个数,AGPS成功个数,AGPS失败个数
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0715.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-15 10:41:56,2016-07-16 18:47:43,1059,231,828,66,51,2,0,3,10,0,236,5,12,4
D:\log\srv_logs\绿0712.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[],8.67E+14,2016-07-12 08:53:17,2016-07-13 03:01:23,409,55,354,21,15,0,2,0,4,0,60,2,6,3
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
D:\log\srv_logs\xsk0713.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-13 16:23:40,2016-07-14 08:55:38,543,61,482,32,28,0,0,0,4,0,62,1,5,0
C:\Users\chuan.wang\Desktop\xsk0719.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-18 23:59:55,2016-07-19 12:21:07,462,90,372,13,10,1,0,0,2,0,88,3,3,0
D:\log\srv_logs\xsk0713-part.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-13 20:06:21,2016-07-13 21:18:19,64,32,32,10,10,0,0,0,0,0,32,0,1,0
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],8.67E+14,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\xsk0720.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-20 19:22:30,2016-07-21 08:25:30,454,63,391,13,12,0,0,0,1,0,58,1,2,0
D:\log\srv_logs\红0713.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5316] bt[],8.67E+14,2016-07-13 09:45:13,2016-07-14 07:26:02,540,43,497,15,10,0,0,0,5,0,49,0,6,1
